"","...1","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl_id","rank","Y"
"31","pfdn5",43.1137180423845,1.46698221100072,0.387719349420147,3.78361877784708,0.000154564509873507,0.00404870693291518,"ENSDARG00000099685",9.77489900913754,"560426"
"32","lrp8",1069.60162348115,-0.0990655241327555,0.128992356400655,-0.767995305280371,0.442489974044276,0.728975396592619,"ENSDARG00000051729",-0.184662527682102,"101886867"
"33","mast2",3002.5864771109,-0.142298157504561,0.0625878792187649,-2.27357372195314,0.0229916289219419,0.141623210825198,"ENSDARG00000018593",2.77262508921804,"373084"
"34","pik3r3b",2320.73225540968,-0.333449548295699,0.0917639438421934,-3.63377525348227,0.000279304178233848,0.00639365969050667,"ENSDARG00000094616",7.18320912546214,"570425"
"35","bcl6a",12.3419253244221,-0.587425592451955,0.540753233957668,-1.08630990175075,0.277341907724932,0.587134065435319,"ENSDARG00000039880",0.282504210029567,"794493"
"36","inpp5d",26.4868730693791,-0.271703866298621,0.422990684917009,-0.642340070330223,0.520652402296277,0.78679927598123,"ENSDARG00000041078",-0.347327366016116,"322756"
"37","sap130a",523.44360772464,-0.0986874659401465,0.105643972447975,-0.934151411134655,0.350225795434064,0.65541909109742,"ENSDARG00000025671",0.0491772026938473,"337692"
"38","barhl2",14.8233030901562,-0.150875564092009,0.601611093365379,-0.250785874389416,0.801979663253811,0.928728260843139,"ENSDARG00000038363",-0.77932797102398,"393346"
"39","znf644b",145.430602858469,0.0380138488799326,0.217618773414809,0.174680926114188,0.86133035608279,0.95392975683132,"ENSDARG00000026403",1.14927715931396,"562171"
"40","tgfbr3",76.1206655987022,0.138362068887143,0.229942255739664,0.601725282906651,0.547357017567972,0.802228817744661,"ENSDARG00000019235",1.60265400652541,"387534"
"41","man2a1",71.5271385225921,-0.446477215742269,0.243686224700053,-1.83218077382842,0.066924492311459,0.271008721515661,"ENSDARG00000070846",1.70419027553712,"30537"
"42","tia1",46.2697952180291,0.692710489497024,0.295987005272178,2.34034088374939,0.0192661460069429,0.125984493791784,"ENSDARG00000079453",4.94940581619816,"436881"
"43","ppm1db",43.9717296069631,0.700261642884271,0.369435009966314,1.89549345349842,0.0580270582195149,0.249782082479115,"ENSDARG00000115281",3.8468458561967,"569945"
"44","klhl13",542.057623241974,0.17209487130307,0.113639275311828,1.51439606448421,0.129925416832939,0.39657042156749,"ENSDARG00000114405",3.04079470983464,"30459"
"45","wdr44",183.610957625136,-0.0233426174095286,0.182759258606747,-0.12772330982014,0.898367942604454,0.965867871485639,"ENSDARG00000020788",-0.892824441041042,"561051"
"46","zgc:163098",132.454746510516,0.0492364400327746,0.193952329569127,0.253858461726937,0.799604906462946,0.928475433152085,"ENSDARG00000098428",1.22363754022796,"100002072"
"47","si:dkey-17o15.2",24.1323345319,-0.225139292491818,0.360736616329841,-0.624109897083363,0.532555414618596,0.793574651153724,"ENSDARG00000042151",-0.369931678198503,"100126133"
"48","lrch2",289.530265610495,-0.387602056282465,0.326056691455104,-1.18875663784939,0.234535445933545,0.540052987145231,"ENSDARG00000004274",0.450148547151695,"322599"
